ao_id,ao,post_count,points,type
C0168ASEPD5,3rd-f,999,5,3rdf
C016MME9P2R,1st-f-preblasts-hc,999,3,none
C016N1MLU05,ruck-hq,999,3,none
C016P3B5KPU,info_only_no_chatter,999,3,none
C016P3CPGFL,mumbblechatter,999,3,none
C016P6ZQVQB,welcome-fng,999,3,none
C016P949G4T,1st-f-backblast-fomo,999,3,none
C016V8D1J5A,1st-f-general,999,3,none
C0171MMKKFT,f3gear,999,3,none
C017CTS0UQG,2nd-f,999,5,2ndf
C017KB6LEP7,downrange,999,3,1stf
C01BZEASQFL,site-q-chatter,999,3,none
C01KX4D3JM8,coupon-stencil-sharing,999,3,none
C01N6TJFV7T,kettlebell-hq,999,3,none
C01VDV68PT9,website-feature-requests-bug-reports,999,3,none
C02A0HGC4PR,ao-the-olympiad,999,3,1stf
C02AC8PS1T7,ao-the-colosseum,999,3,1stf
C02AC8S6A2H,ao-the-wood,999,3,1stf
C02AEGTT9PW,1st-f-preblast-hc,999,3,none
C02AS8G85GS,cross_crossroads_ao_ruck,999,3,none
C02ASPELY58,paxminer_logs,999,3,none
C02B4U0M71N,ao-the-ridge,999,3,1stf
C02B68NE7CZ,men-of-gloom-fantasy-football,999,3,none
C02BJ5G9D55,weasel_shaker,999,3,none
C02CVN3QXCL,f3-video,999,3,none
C02DNLUQN9Y,ao-black-diamond,999,4,1stf
C02EPM994DD,fmsc_october_2nd,999,3,none
C02HVJ0Q3HU,battalion_foundation,999,3,none
C02JZQUED7A,oct-30th-ruck,999,3,none
C02K7KTDUNM,halloween-hell-week,999,3,none
C02L1RPJB6Y,reindeer-games-2021,999,3,none
C02LC968935,teamolive2021,999,3,none
C02LN6H4Y2D,team_rudolph,999,3,none
C02LZ8M75UG,team-comet-2021-reindeer-games,999,3,none
C02PPCCGJRZ,gte30-slt-pr-planning,999,3,none
C02QCUL4M34,the-expendables,999,3,none
C02RSNC92LW,75hard2022,999,3,none
C02SWKB9RNV,ao-openening-discussion,999,3,1stf
C031915SDUP,ao-three-rivers,999,3,1stf
C031ZSNV30Q,patriot_games,999,3,none
C0329PXMA6T,ao-da-grizz,999,3,1stf
C033WBHF0FM,poker-night,999,3,none
C036X6LJZ0C,march-madness-2022,999,3,none
C0377G7710R,team_mosey,999,3,none
C03D0FQ4P43,golf,999,3,none
C03EP2MEPEF,ruck_training_schedule,999,3,none
C03ERN3NT6Z,movin-w-movember-sign-up,999,3,none
C03KZ95AS75,3rd-f-qsource,999,5,qs
C03M7SS26TS,gte30-shadow-team,999,3,none
C03NZ0S8CSE,suprise-for-1040,999,3,none
C03R98ENVJN,60hard,999,3,none
C03U02NA9MH,f3-third-f-fantasy-football,999,3,none
C03UD5TA2LV,4th-f-food,999,3,none
C03UGAF63PU,ultimate-football-tourney-,999,3,none
C0424MZPC87,chaminwood-ruck,999,3,none
C043GC3KKAN,three_rivers_shirt_orders,999,3,none
C043UUCPRA5,the_wood_shirt_order,999,3,none
C043YNBQNHZ,book-swap,999,3,none
C04450359FB,the-wood-ao-flag,999,3,none
C045QGNJ3S7,f3-fartsack,999,3,none
C0464S3GC6R,2022-hell-week,999,3,none
C046RTY1FSL,classifieds-give-and-sell,999,3,none
C047T4Q60PN,helping-the-family-of-sam-madura,999,3,none
C048WDFVDP0,team-dasher2022,999,3,none
C048Z0VU4DC,2022-reindeer-games-pax,999,3,none
C049C7MM97Z,coffeeteria-q,999,3,none
C049HBMJV7G,frozen-gnome,999,3,none
C04ADLMAQD6,isle-royale-2024,999,3,none
C04BPN80N8Z,f3-financial,999,3,none
C04CXH7SR5E,pale-invasion-to-f3,999,3,none
C04G2CZHMNJ,friday-qs-and-sqs-12-23,999,3,none
C04H1C6941W,patches-xmas-gift,999,3,none
C04J2QTU1J5,medically-trained-cpr,999,3,none
C04KWNH8QRL,c4,999,3,none
C04M1RZASN4,how-f3-has-changed-my-life,999,3,none
C04MB07NU11,4hours-planking-february,999,3,none
