user_id,user_name,min date,max date,post_count,Team,pick_order,FNGflag,notes
U019PSK245U,Huggies,11-Jan-25,10-Jul-25,180,Blitzen,17,1,
U01C4AULU5B,Fish Sticks,11-Jan-25,10-Jul-25,180,Comet,15,1,
U01C516QSQZ,Wreck-it-Ralph,11-Jan-25,11-Jul-25,180,Comet,14,1,
U01EPEQF8SW,BatGirl,11-Jan-25,11-Jul-25,180,Comet,15,1,
U01KXPKDF97,Heifer,11-Jan-25,11-Jul-25,180,Prancer,17,1,
U01Q04FM95G,Hot Boxx,11-Jan-25,11-Jul-25,180,Comet,14,1,
U020A3PMS14,Ringo,11-Jan-25,11-Jul-25,180,Dasher,2,1,
U02A96X2T1B,Peek-a-boo,11-Jan-25,11-Jul-25,180,Comet,15,1,
U02AEK4889M,Doc brown,11-Jan-25,10-Jul-25,180,Comet,14,1,
U02F6ND56VB,Jordache,11-Jan-25,11-Jul-25,180,Prancer,17,1,
U035VPDD30C,Thin Mint,11-Jan-25,11-Jul-25,180,Comet,15,1,
U03TX180CCU,Go Fish,11-Jan-25,10-Jul-25,180,Dasher,3,1,
U043KC41LA2,Ronnie Woo Woo,11-Jan-25,10-Jul-25,180,Dancer,9,1,
U04RWAWMZKP,tonya harding,11-Jan-25,11-Jul-25,180,Cupid,17,1,
U0558CXUZA9,Rapinoe,11-Jan-25,11-Jul-25,180,Dancer,10,1,
U0566HQECA1,West side Story,11-Jan-25,11-Jul-25,180,Rudolph,7,1,
U05A6AHMPT5,LaRussa,11-Jan-25,11-Jul-25,180,Prancer,17,1,
U063PMGKQLB,Coin Purse,11-Jan-25,11-Jul-25,180,Dasher,2,1,
U06CKPPM83S,Squirt,11-Jan-25,11-Jul-25,180,Vixen,5,1,
U06JUQZ96Q4,Dory,11-Jan-25,11-Jul-25,180,Blitzen,17,1,
U072HDGJSBG,Doozie,11-Jan-25,11-Jul-25,180,Rudolph,7,1,
U07H6LVJHKK,Frontier,11-Jan-25,11-Jul-25,180,Comet,14,1,
U07KLPFH1L4,Landis,11-Jan-25,11-Jul-25,180,Dancer,10,1,
U07T8M3GC1L,(Free Smells son) 007,11-Jan-25,11-Jul-25,180,Donner,12,1,
U07TPCBKEEA,Daisy Dukes,11-Jan-25,10-Jul-25,180,Olive,17,1,
U07U0NE8DJ8,Safety Meeting,11-Jan-25,11-Jul-25,180,Dancer,9,1,
U07U7V9RNUF,Dirty Underwear,11-Jan-25,11-Jul-25,180,Dasher,3,1,
U07UCTA492S,Mr Burns,11-Jan-25,11-Jul-25,180,Blitzen,17,1,
U07UKT9J213,Large Marge,11-Jan-25,11-Jul-25,180,Blitzen,17,1,
U07UNG0MB26,Birthday Suit,11-Jan-25,11-Jul-25,180,Dasher,3,1,
U07UXGZQYTV,Lighthouse,11-Jan-25,11-Jul-25,180,Vixen,5,1,
U07UZEQFP9P,Milton Bradley,11-Jan-25,10-Jul-25,180,Vixen,5,1,
U07UZKMJ341,Spandex,11-Jan-25,11-Jul-25,180,Blitzen,17,1,
