warrior,Posts,Miles,Qs,F2nd,Qs_3rdF,Donations,Black_Diamonds,F3P_AO_count,F3P_AOs
Broomstick,5,3.47,0,0,0,0,2,3,"['black-diamond', 'the-olympiad', 'the-ridge']"
Chum Bucket,6,12.73,0,1,0,0,1,5,"['the-olympiad', 'the-ridge', 'the-silo', 'black-diamond', 'dmz']"
Dauber,5,13.71,1,0,1,0,0,3,"['the-olympiad', 'the-ridge', 'the-colosseum']"
Deja vu,9,6.28,1,1,0,0,0,1,['the-ridge']
Depends (3rdF Q),4,7.82,0,0,2,0,1,3,"['the-olympiad', 'black-diamond', 'ravens-nest']"
Dilly Dilly,3,19.2,1,0,0,0,0,1,['the-ridge']
Duck Hunt,10,15.65,1,0,0,0,3,3,"['el-coyote', 'black-diamond', 'da-grizz']"
Foghorn,4,4.4,1,0,1,0,2,3,"['black-diamond', 'the-grove', 'the-silo']"
Foreclosure,7,10.870000000000001,1,1,0,0,5,3,"['the-olympiad', 'black-diamond', 'the-silo']"
Mr. Kotter,7,18.11,0,1,0,1,1,6,"['el-coyote', 'the-colosseum', 'the-ridge', 'black-rock', 'ravens-nest', 'black-diamond']"
Party in a bottle,4,3.0,2,1,0,0,0,3,"['the-ridge', 'the-colosseum', 'black-rock']"
Pull-up,7,18.02,2,0,1,0,1,4,"['the-ridge', 'the-grove', 'black-diamond', 'the-silo']"
Slackbot,6,6.28,6,0,0,0,0,0,[]
Sparkler,7,22.25,1,0,0,1,5,3,"['black-diamond', 'the-grove', 'the-silo']"
Spit Valve,7,6.1,5,0,0,0,0,3,"['the-colosseum', 'the-ridge', 'the-grove']"
Stitch,3,2.7,1,0,0,0,0,3,"['the-grove', 'the-silo', 'the-ridge']"
