warrior,Posts,Miles,Qs,F2nd,Qs_3rdF,Donations,Black_Diamonds,F3P_AO_count,F3P_AOs
Broomstick,3,3.47,0,0,0,0,1,3,"['the-olympiad', 'the-ridge', 'black-diamond']"
Chum Bucket,2,3.0,0,0,0,0,0,2,"['the-olympiad', 'the-ridge']"
Dauber,2,2.97,0,0,0,0,0,2,"['the-olympiad', 'the-ridge']"
Depends (3rdF Q),1,3.47,0,0,0,0,0,1,['the-olympiad']
Dilly Dilly,1,7.2,1,0,0,0,0,1,['the-ridge']
Duck Hunt,5,1.75,1,0,0,0,1,3,"['black-diamond', 'da-grizz', 'el-coyote']"
Foreclosure,1,3.47,0,0,0,0,0,1,['the-olympiad']
Mr. Kotter,4,2.77,0,0,0,1,0,3,"['the-colosseum', 'the-ridge', 'el-coyote']"
Pull-up,2,4.25,0,0,0,0,0,2,"['the-ridge', 'the-grove']"
Sparkler,2,7.45,0,0,0,1,1,2,"['black-diamond', 'the-grove']"
Stitch,1,2.7,0,0,0,0,0,1,['the-grove']
