week,team,user,week total,ec,1stf,ATW,6pack,3rdf,Donation,qs,2ndf,popup,WO Q,QS Q,ao_list
1,Comet,Dauber,137,18,70,5,21,5,3,5,5,3,1,1,"black-diamond, da-grizz, el-coyote, the-colosseum, the-olympiad"
0,Dasher,Dog House,125,18,62,5,18,5,3,5,5,3,,1,"black-diamond, el-coyote, the-colosseum, the-olympiad, the-ridge"
1,Comet,Meta,121,15,60,5,18,5,3,5,5,3,1,1,"da-grizz, el-coyote, the-colosseum, the-olympiad, the-ridge"
0,Comet,Dauber,116,18,57,5,16,5,3,5,5,,1,1,"black-diamond, da-grizz, el-coyote, the-colosseum, the-olympiad"
1,Dasher,Dog House,104,15,52,,15,5,3,5,5,3,1,,"black-diamond, el-coyote, the-colosseum, the-olympiad"
0,Prancer,Spit Valve,97,18,42,5,12,5,3,5,5,,1,1,"el-coyote, the-colosseum, the-grove, the-olympiad, the-ridge"
1,Comet,Hot Lava,95,18,42,5,12,5,3,5,5,,,,"black-rock, el-coyote, the-colosseum, the-olympiad, the-silo"
0,Comet,Manhole,94,18,39,5,11,5,3,5,5,3,,,"black-rock, da-grizz, el-coyote, the-colosseum, the-grove, the-olympiad"
1,Prancer,Hank Hill,94,18,39,5,11,5,3,5,5,3,,,"da-grizz, el-coyote, ravens-nest, the-colosseum, the-olympiad, the-silo"
0,Comet,Hot Lava,91,18,39,5,11,5,3,5,5,,,,"black-rock, da-grizz, el-coyote, the-colosseum, the-grove, the-olympiad"
1,Prancer,Nemo,90,18,36,5,10,5,3,5,5,3,,,"black-rock, da-grizz, el-coyote, ravens-nest, the-colosseum, the-olympiad, the-silo"
0,Comet,Meta,88,18,36,5,10,5,3,5,5,,1,,"da-grizz, el-coyote, the-colosseum, the-grove, the-olympiad"
0,Prancer,Hank Hill,85,15,36,5,10,5,3,5,5,,1,,"black-rock, el-coyote, ravens-nest, the-colosseum, the-olympiad, the-ridge, the-silo"
0,Dasher,Scratch and Dent,84,18,33,5,9,5,3,5,5,,1,,"da-grizz, el-coyote, the-colosseum, the-grove, the-ridge, the-silo"
1,Comet,Manhole,83,18,33,5,9,5,3,5,5,,,,"black-rock, el-coyote, the-colosseum, the-olympiad, the-silo"
1,Dancer,Pop-Tart,83,18,30,5,8,5,3,5,5,3,1,,"da-grizz, el-coyote, ravens-nest, the-colosseum, the-olympiad, the-ridge"
1,Comet,Bob Villa,81,6,37,5,10,5,3,5,5,3,1,1,"black-diamond, black-rock, da-grizz, el-coyote, the-colosseum, the-olympiad, the-silo"
1,Prancer,Spit Valve,80,18,27,5,7,5,3,5,5,3,1,1,"da-grizz, ravens-nest, the-colosseum, the-olympiad, the-silo"
1,Rudolph,Ricola,80,15,30,5,8,5,3,5,5,3,,1,"black-rock, da-grizz, el-coyote, ravens-nest, the-colosseum"
1,Dasher,Scratch and Dent,79,15,30,5,8,5,3,5,5,3,,,"el-coyote, ravens-nest, the-colosseum, the-grove, the-olympiad, the-silo"
1,Prancer,Depends (3rdF Q),79,15,30,5,8,5,3,5,5,3,,,"black-rock, da-grizz, el-coyote, ravens-nest, the-olympiad, the-silo"
0,Dancer,Hodl,77,18,30,5,8,5,3,5,,3,,,"black-rock, da-grizz, el-coyote, the-grove, the-olympiad, the-ridge, the-silo"
1,Dancer,Ricochet,77,18,30,5,8,5,3,5,,3,,,"da-grizz, el-coyote, ravens-nest, the-colosseum, the-olympiad, the-ridge"
1,Dancer,Hodl,76,18,24,5,6,5,3,5,5,3,1,1,"da-grizz, el-coyote, the-colosseum, the-olympiad, the-ridge, the-silo"
1,Dancer,Cutler,75,18,24,5,6,5,3,5,5,3,1,,"da-grizz, ravens-nest, the-colosseum, the-olympiad, the-ridge"
0,Rudolph,Ricola,75,18,24,5,6,5,3,5,5,3,1,,"black-rock, da-grizz, ravens-nest, the-colosseum, the-ridge"
0,Dancer,Cutler,70,18,21,5,5,5,3,5,5,3,,,"black-rock, da-grizz, the-grove, the-olympiad, the-ridge, the-silo"
0,Dancer,Pop-Tart,69,15,24,5,6,5,3,5,5,,,1,"black-rock, da-grizz, el-coyote, the-colosseum, the-silo"
1,Prancer,Boomer,68,15,21,5,5,5,3,5,5,3,1,,"da-grizz, el-coyote, ravens-nest, the-colosseum, the-grove"
1,Donner,Chum Bucket,66,10,24,5,6,5,3,5,5,3,,,"black-rock, ravens-nest, the-colosseum, the-grove, the-ridge"
0,Comet,Peterbilt,64,6,27,5,7,5,3,5,5,,1,,"black-rock, da-grizz, el-coyote, the-colosseum, the-grove, the-olympiad"
0,Prancer,Depends (3rdF Q),64,14,21,5,5,5,3,5,5,,,1,"black-rock, da-grizz, ravens-nest, the-olympiad, the-ridge, the-silo"
0,Donner,Chum Bucket,63,11,21,5,5,5,3,5,5,3,,,"black-rock, el-coyote, the-colosseum, the-olympiad, the-ridge"
0,Prancer,Nemo,62,12,21,5,5,5,,5,5,3,1,,"black-rock, el-coyote, the-colosseum, the-grove, the-silo"
1,Rudolph,Foreclosure,62,18,19,5,4,,3,5,5,3,,,"black-rock, ravens-nest, the-colosseum, the-olympiad, the-ridge"
1,Dancer,Sparky,61,9,24,,6,5,3,5,5,3,1,,"da-grizz, el-coyote, the-olympiad"
0,Prancer,Boomer,58,13,18,5,4,5,,5,5,3,,,"da-grizz, el-coyote, ravens-nest, the-colosseum, the-grove"
1,Dancer,Foghorn,57,11,18,5,4,5,3,5,5,,1,,"da-grizz, the-colosseum, the-olympiad, the-ridge, the-silo"
1,Dancer,Phoenix,57,5,21,5,5,5,3,5,5,3,,,"black-rock, da-grizz, el-coyote, the-colosseum, the-olympiad, the-silo"
1,Donner,Storm Chaser,56,14,25,5,6,,3,,,3,,,"black-rock, ravens-nest, the-colosseum, the-olympiad, the-ridge"
