warrior,Patch,Daily Posts,Daily EC,Posts,EC,Qs,2ndF,QS/3RDF,Donations,BD,Snowman,AOs
Broomstick,Band,0.81,4.78,13,76.53,2,3,3,1,0,1,0
Broomstick,Beast,2.06,7.28,33,116.53,3,4,4,2,0,1,3
Broomstick,Ultimate,2.38,8.78,38,140.53,3,4,4,2,3,1,5
Chum Bucket,Band,0.19,1.69,3,26.979999999999997,1,0,1,1,0,1,0
Chum Bucket,Beast,1.44,4.19,23,66.97999999999999,2,1,2,2,1,1,0
Chum Bucket,Ultimate,1.75,5.69,28,90.97999999999999,2,1,2,2,5,1,1
Dauber,Band,0.5,0.95,8,15.159999999999997,0,2,0,1,0,1,0
Dauber,Beast,1.75,3.45,28,55.16,0,3,0,2,2,1,3
Dauber,Ultimate,2.06,4.95,33,79.16,0,3,0,2,6,1,5
Deja vu,Band,0.0,1.78,0,28.5,0,0,0,0,0,0,0
Deja vu,Beast,1.0,4.28,16,68.5,0,1,1,1,3,0,2
Deja vu,Ultimate,1.31,5.78,21,92.5,0,1,1,1,7,0,4
Depends (3rdF Q),Band,0.5,1.83,8,29.299999999999997,1,2,0,1,0,1,0
Depends (3rdF Q),Beast,1.75,4.33,28,69.3,2,3,0,2,3,1,1
Depends (3rdF Q),Ultimate,2.06,5.83,33,93.3,2,3,0,2,7,1,3
Dilly Dilly,Band,0.56,3.26,9,52.2,0,3,3,1,0,1,2
Dilly Dilly,Beast,1.81,5.76,29,92.2,1,4,4,2,3,1,5
Dilly Dilly,Ultimate,2.12,7.26,34,116.2,1,4,4,2,7,1,7
Duck Hunt,Band,0.25,0.0,4,0.0,2,2,3,1,0,1,0
Duck Hunt,Beast,1.5,1.97,24,31.560000000000002,3,3,4,2,0,1,2
Duck Hunt,Ultimate,1.81,3.47,29,55.56,3,3,4,2,4,1,4
Foghorn,Band,0.88,4.54,14,72.57,0,3,0,1,0,1,0
Foghorn,Beast,2.12,7.04,34,112.57,1,4,0,2,1,1,2
Foghorn,Ultimate,2.44,8.54,39,136.57,1,4,0,2,5,1,4
Foreclosure,Band,0.0,1.11,0,17.78,0,0,3,1,0,0,0
Foreclosure,Beast,1.19,3.61,19,57.78,0,1,4,2,0,0,0
Foreclosure,Ultimate,1.5,5.11,24,81.78,0,1,4,2,0,0,2
Hodl,Band,0.56,4.9,9,78.45,0,1,0,1,0,1,0
Hodl,Beast,1.81,7.4,29,118.45,0,2,1,2,2,1,0
Hodl,Ultimate,2.12,8.9,34,142.45,0,2,1,2,6,1,2
Mr. Kotter,Band,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Mr. Kotter,Beast,0.69,0.57,11,9.159999999999997,0,0,0,0,0,0,0
Mr. Kotter,Ultimate,1.0,2.07,16,33.16,0,0,0,0,0,0,0
Party in a bottle,Band,0.88,4.81,14,77.0,0,1,3,1,0,1,0
Party in a bottle,Beast,2.12,7.31,34,117.0,1,2,4,2,3,1,3
Party in a bottle,Ultimate,2.44,8.81,39,141.0,1,2,4,2,7,1,5
Pull-up,Band,0.06,0.0,1,0.0,0,3,0,1,0,1,0
Pull-up,Beast,1.31,1.79,21,28.659999999999997,0,4,0,2,0,1,0
Pull-up,Ultimate,1.62,3.29,26,52.66,0,4,0,2,3,1,2
Slackbot,Band,1.0,4.16,16,66.64,0,3,3,0,0,0,5
Slackbot,Beast,2.25,6.66,36,106.64,0,4,4,1,4,0,8
Slackbot,Ultimate,2.56,8.16,41,130.64,0,4,4,1,8,0,10
Soft Hands,Band,0.31,4.14,5,66.27,0,1,3,1,0,1,0
Soft Hands,Beast,1.56,6.64,25,106.27,1,2,4,2,2,1,2
Soft Hands,Ultimate,1.88,8.14,30,130.27,1,2,4,2,6,1,4
Sparkler,Band,0.25,0.0,4,0.0,0,3,3,0,0,1,0
Sparkler,Beast,1.5,1.71,24,27.409999999999997,1,4,4,1,0,1,1
Sparkler,Ultimate,1.81,3.21,29,51.41,1,4,4,1,0,1,3
Spit Valve,Band,0.5,2.97,8,47.51,0,2,3,1,0,0,0
Spit Valve,Beast,1.75,5.47,28,87.50999999999999,0,3,4,2,2,0,1
Spit Valve,Ultimate,2.06,6.97,33,111.50999999999999,0,3,4,2,6,0,3
Stitch,Band,1.56,4.83,25,77.3,2,3,3,1,0,1,2
Stitch,Beast,2.81,7.33,45,117.3,3,4,4,2,4,1,5
Stitch,Ultimate,3.12,8.83,50,141.3,3,4,4,2,8,1,7
