date,week,Team,user_name,ao,type,points,notes
2025-11-01,0,Comet,Happy Camper,ao-the-colosseum,1stf,3,ao-the-colosseum - Spit Valves Bootcamp
2025-11-01,0,Comet,Happy Camper,ao-the-colosseum,1stf,3,ao-the-colosseum - Fall Convergence 2025
2025-11-01,0,Comet,Happy Camper,2nd-f,2ndf,5,Post convergence Food and Fellowship
2025-11-01,0,Comet,Happy Camper,rg_3rdf_donation,Donation,3,"$$, way to be generous!"
2025-11-03,1,Comet,Happy Camper,rg_ec3,ec,3,"EC, noice!"
2025-11-03,1,Comet,Happy Camper,ao-the-silo,1stf,3,ao-the-silo - RDG week1
2025-11-03,1,Comet,Happy Camper,rg_popup,popup,3,YAY! You did the popup!
2025-11-04,1,Comet,Happy Camper,ao-the-ridge,1stf,3,ao-the-ridge - Peterbilt 54 Reps Ladder of Pain
2025-11-04,1,Comet,Happy Camper,rg_ec3,ec,3,"EC, noice!"
2025-11-05,1,Comet,Happy Camper,rg_ec3,ec,3,"EC, noice!"
2025-11-05,1,Comet,Happy Camper,ao-dmz,1stf,3,ao-dmz - Dilly's burpees
2025-11-06,1,Comet,Happy Camper,rg_ec2,ec,2,"EC, noice!"
2025-11-06,1,Comet,Happy Camper,ao-the-ridge,workout Q,1,Q
2025-11-06,1,Comet,Happy Camper,ao-the-ridge,1stf,3,ao-the-ridge - Happy Camper - Parking Lot Pain - ??
2025-11-07,1,Comet,Happy Camper,ao-da-grizz,1stf,3,ao-da-grizz - Grizzly morning with Celine
2025-11-07,1,Comet,Happy Camper,rg_3rdf_donation,Donation,3,"$$, way to be generous!"
2025-11-07,1,Comet,Happy Camper,3rd-f-qsource,qs,5,QS
2025-11-07,1,Comet,Happy Camper,3rd-f,3rdf,5,pantry Friday
2025-11-07,1,Comet,Happy Camper,2nd-f,2ndf,5,1st Friday at Werk Force
2025-11-08,1,Comet,Happy Camper,<NA>,Around The World,5,"('ao-the-ridge', 'ao-da-grizz', 'ao-the-colosseum', 'ao-the-silo', 'ao-dmz')"
2025-11-08,1,Comet,Happy Camper,<NA>,sixpack bonus,4,"('ao-the-silo', 'ao-the-ridge', 'ao-dmz', 'ao-the-ridge', 'ao-da-grizz', 'ao-the-colosseum')"
2025-11-08,1,Comet,Happy Camper,ao-the-colosseum,1stf,3,ao-the-colosseum - Dauber’s Ladder Beatdown
2025-11-10,2,Comet,Happy Camper,rg_ec3,ec,3,"EC, noice!"
