rank,user_name,Team,HS,Total_Points,Post_count,ec,FNG1,FNG5,FNG_VQ
1,Meta,Comet,20,382,50,63,,,
2,Dauber,Comet,20,381,50,63,,,
2,Dog House,Dasher,20,381,50,58,,,
3,Mahomes,Comet,20,340,41,63,,,
4,Manhole,Comet,20,336,41,63,,,
5,Hank Hill,Prancer,10,330,41,63,,,
6,Spit Valve,Prancer,10,328,41,66,,,
7,Hot Lava,Comet,10,326,41,63,,,
8,Scratch and Dent,Dasher,20,323,38,62,,,
9,Hodl,Dancer,20,302,35,61,,,
10,Depends (3rdF Q),Prancer,10,286,33,61,,,
11,Bob Villa,Comet,0,283,39,60,,,
12,Boomer,Prancer,20,271,29,53,,,
13,Chum Bucket,Donner,20,264,27,39,,,
14,Cutler,Dancer,20,259,29,61,,,
15,Sparky,Dancer,20,255,23,63,,,
16,Ricola,Rudolph,20,248,28,45,,,
17,Peterbilt,Comet,0,234,38,8,,,
18,Happy Camper,Comet,20,231,23,41,,,
19,Soft Hands,Cupid,10,220,24,57,,,
20,Foghorn,Dancer,20,216,23,42,,,
21,Zimmer,Dasher,10,212,26,39,,,
22,Doozie,Dasher,10,211,23,44,,,
23,Norm,Dasher,20,210,24,48,,,
24,Cinderella,Dancer,20,209,23,40,,,
25,Schlitz,Blitzen,10,208,21,41,,,
26,Dilbert,Prancer,0,207,20,48,,,
27,Ricochet,Dancer,0,206,28,63,,,
27,Nemo,Prancer,10,206,23,49,,,
28,Duck Hunt,Cupid,10,205,25,54,,,
29,Pull-up,Comet,10,204,20,50,,,
30,YellowPages,Prancer,10,203,24,26,,,
30,Storm Chaser,Donner,0,203,28,32,,,
31,Juanita,Donner,20,195,22,42,,,
32,Blue Gill,Vixen,0,191,25,25,,,
33,BABYMOMMA,Dasher,10,190,22,39,,,
34,Ringo,Rudolph,20,186,20,19,,,
35,Pop-Tart,Dancer,0,184,26,20,,,
36,Bedpan,Donner,0,182,21,31,,,
36,Phoenix,Dancer,0,182,28,9,,,
37,UPS,Dasher,0,178,22,35,,,
38,Pearl,Comet,10,167,19,27,,,
39,Dilly Dilly,Vixen,0,164,22,39,,,
40,Foreclosure,Rudolph,10,161,18,45,,,
41,Napster,Rudolph,10,159,21,27,,,
42,Hanger,Donner,10,149,18,39,,,
42,Algorithm,Comet,10,149,20,20,,,
43,Mr. Kotter,Donner,10,145,22,24,,,
44,fuzzy navel,Donner,10,137,10,21,,,
45,Old Maid,Dasher,0,136,18,12,,,
46,DJ Sump Pump,Comet,0,135,26,7,,,
47,Six Sheets,Comet,0,133,20,42,3,5,
48,Sparkler,Cupid,0,131,15,48,,,
49,Celine Dion,Rudolph,0,130,22,6,,,
49,Broomstick,Vixen,10,130,16,40,,,
50,Frontier,Comet,20,129,10,27,,,
51,Singer,Cupid,10,128,18,37,,,
52,Dear Abby,Dancer,0,121,17,24,,,
53,Jellystone,Dasher,0,119,14,33,,,
54,Rooney,Dasher,10,116,16,30,,,
55,Party in a bottle,Dancer,10,113,16,6,,,
56,Caboose,Cupid,0,112,16,0,,,
56,Scuba Steve,Vixen,0,112,18,16,,,
57,Tighty Whities,Comet,0,110,16,11,3,5,
58,Choco Taco,Comet,10,108,8,30,3,5,
59,vern,Vixen,0,107,18,24,,,
59,Picasso,Cupid,0,107,15,45,,,
60,Hatchet (Lizard Q),Comet,0,105,13,18,,,
61,Just Dance,Blitzen,10,99,12,33,,,
61,PFG,Prancer,10,99,19,6,,,
61,Tinfoil,Prancer,10,99,17,18,3,5,
61,Underdog,Rudolph,0,99,18,33,,,
62,Corner Kick,Donner,0,98,13,22,,,
63,Trifecta,Dasher,0,95,9,24,,,
63,Celler Dweller,Donner,0,95,15,5,,,
64,Liberty Biberty,Prancer,0,94,15,23,,,
64,Morticia,Blitzen,0,94,18,15,,,
64,John Denver,Donner,10,94,13,31,,,
64,Danica,Comet,0,94,18,0,3,5,
65,Wing Stop (F3 Naperville),Comet,0,93,16,9,,,
66,Hat Trick,Vixen,0,92,14,21,,,
67,Mr. Belding,Donner,0,91,14,31,,,
68,Olive Oyl,Dasher,0,90,10,6,,,
69,Moist,Donner,0,89,15,31,,,
70,5-Putt,Vixen,0,88,19,11,,,
71,Shankapotomus,Comet,0,86,16,3,,,
72,Bunker,Cupid,0,85,12,27,,,
73,Tweety,Vixen,0,84,14,33,,,
74,Pee Wee Herman,Blitzen,0,80,19,8,,,
75,Deliverance,Prancer,0,78,15,0,,,
76,Xena- Warrior Princess,Blitzen,0,76,11,0,,,
77,Derailed,Blitzen,0,74,9,31,,,
78,Quatro,Vixen,0,70,13,5,,,
79,The Worm,Prancer,0,69,13,8,,,
79,Flo,Prancer,0,69,12,25,,,
80,Folgers,Rudolph,10,68,6,20,,,
81,GrubX (CMW),Cupid,10,67,13,6,,,
82,Den Mother,Vixen,0,66,10,3,,,
83,TruGreen,Dancer,0,65,7,0,,,
84,Italian Ice,Rudolph,0,64,16,3,,,
85,Kidney Beans,Blitzen,0,62,12,21,,,
86,Peashooter,Donner,0,61,10,18,,,
87,Waffle House,Dancer,0,56,11,0,3,5,0
87,Slapshot,Rudolph,0,56,15,0,,,
88,Spike Horn,Cupid,0,54,8,9,,,
88,Homer Simpson,Rudolph,0,54,7,6,,,
89,Drive By,Dasher,0,48,7,3,,,
89,SkidMark,Blitzen,0,48,11,15,,,
90,Bambino,Comet,0,47,6,3,3,5,
91,Sizzler,Cupid,0,45,10,3,,,
91,Sensodyne,Prancer,10,45,8,8,,,
92,Trickle,Donner,0,42,6,6,,,
92,Pit Boss,Donner,0,42,8,10,3,5,0
93,Fish Tape,Vixen,0,41,12,0,,,
94,Candy Man,Cupid,0,40,10,2,,,
95,Nickelback,Rudolph,0,39,6,0,,,
95,Thesaurus,Dancer,0,39,7,0,,,
96,Scat,Dasher,0,37,4,0,,,
97,Gopher,Blitzen,10,35,4,3,,,
98,Martha Stewart,Dancer,10,34,7,3,3,5,0
98,Hackman,Vixen,0,34,8,2,,,
98,The Vault,Prancer,0,34,6,0,3,5,0
99,LaRussa,Dasher,0,33,4,6,,,
99,BoilerUp,Rudolph,10,33,4,8,,,
99,Cowbell,Rudolph,0,33,7,0,,,
100,BORG,Dasher,0,32,8,3,3,5,0
100,Backstreet,Rudolph,0,32,7,6,,,
101,Heifer,Comet,0,31,5,0,3,5,
102,SoccerMom,Vixen,0,29,7,0,3,5,
103,Second Best,Comet,0,28,5,0,3,5,
104,Fire Hose,Comet,0,27,3,0,3,0,
105,Ginga,Vixen,0,26,7,0,,,
105,Circuit City,Prancer,0,26,7,2,3,5,0
106,TPS Report,Vixen,0,25,3,13,3,0,
107,Mapquest,Rudolph,0,24,8,0,,,
