user_name,Team,HS,Total_Points,Post_count,ec,FNG1,FNG5,FNG_VQ
5-Putt,Vixen,0,78,24,0,<NA>,<NA>,<NA>
Algorithm,Comet,0,44,11,0,<NA>,<NA>,<NA>
And1,Dancer,0,3,0,0,0,0,0
BABYMOMMA,Dasher,0,11,0,3,<NA>,<NA>,<NA>
BORG,Dasher,0,3,1,0,3,0,0
Backstreet,Rudolph,0,33,6,0,<NA>,<NA>,<NA>
Bedpan,Donner,0,144,25,16,<NA>,<NA>,<NA>
Blue Gill,Vixen,0,33,5,2,<NA>,<NA>,<NA>
Bob Villa,Comet,0,150,24,13,<NA>,<NA>,<NA>
BoilerUp,Rudolph,0,23,6,5,<NA>,<NA>,<NA>
Boomer,Prancer,0,221,28,28,<NA>,<NA>,<NA>
Boston Butt,Dancer,0,6,2,0,<NA>,<NA>,<NA>
Broomstick,Vixen,0,65,14,9,<NA>,<NA>,<NA>
Bunker,Cupid,0,43,12,0,<NA>,<NA>,<NA>
Caboose,Cupid,0,42,8,0,<NA>,<NA>,<NA>
Celine Dion,Rudolph,0,115,19,21,<NA>,<NA>,<NA>
Celler Dweller,Donner,0,30,10,0,<NA>,<NA>,<NA>
Choco Taco,Comet,0,23,2,9,3,0,<NA>
Chum Bucket,Donner,0,173,27,21,<NA>,<NA>,<NA>
Cinderella,Dancer,0,103,19,8,<NA>,<NA>,<NA>
Circuit City,Prancer,0,30,8,6,3,5,0
Corner Kick,Donner,0,60,13,11,<NA>,<NA>,<NA>
Cowbell,Rudolph,0,40,8,0,<NA>,<NA>,<NA>
Cutler,Dancer,0,193,27,36,<NA>,<NA>,<NA>
DEADBOLT,Dancer,0,6,0,3,0,0,0
DJ Sump Pump,Comet,0,52,11,0,<NA>,<NA>,<NA>
Dan-D-LION,Rudolph,0,3,1,0,3,0,<NA>
Danica,Comet,0,35,10,0,3,5,<NA>
Dauber,Comet,0,280,48,36,<NA>,<NA>,<NA>
Dear Abby,Dancer,0,84,15,15,<NA>,<NA>,<NA>
Deliverance,Prancer,0,40,9,0,<NA>,<NA>,<NA>
Den Mother,Vixen,0,16,3,0,<NA>,<NA>,<NA>
Depends (3rdF Q),Prancer,0,168,22,30,<NA>,<NA>,<NA>
Derailed,Blitzen,0,20,5,4,<NA>,<NA>,<NA>
Dilbert,Prancer,0,108,14,18,<NA>,<NA>,<NA>
Dilly Dilly,Vixen,0,115,24,18,<NA>,<NA>,<NA>
Dog House,Dasher,0,229,37,33,<NA>,<NA>,<NA>
Doozie,Dasher,0,73,11,15,<NA>,<NA>,<NA>
Dr. Loco,Rudolph,0,3,1,0,3,0,0
Drive By,Dasher,0,3,1,0,<NA>,<NA>,<NA>
Duck Hunt,Cupid,0,55,15,3,<NA>,<NA>,<NA>
Dungeon Master,Prancer,0,6,2,0,3,0,0
Eleanor,Dancer,0,3,0,0,0,0,0
Fish Tape,Vixen,0,27,9,0,<NA>,<NA>,<NA>
Flo,Prancer,0,40,10,10,<NA>,<NA>,<NA>
Foghorn,Dancer,0,129,19,23,<NA>,<NA>,<NA>
Folgers,Rudolph,0,27,5,4,<NA>,<NA>,<NA>
Foreclosure,Rudolph,0,126,20,26,<NA>,<NA>,<NA>
Foundation,Blitzen,0,39,10,0,<NA>,<NA>,<NA>
Ginga,Vixen,0,12,4,0,<NA>,<NA>,<NA>
Gopher,Blitzen,0,14,3,0,<NA>,<NA>,<NA>
Grunts,Rudolph,0,12,3,3,3,0,7
Hackman,Vixen,0,28,8,4,<NA>,<NA>,<NA>
HandsOn,Dancer,0,36,9,0,3,5,0
Hanger,Donner,0,47,13,0,<NA>,<NA>,<NA>
Hank Hill,Prancer,0,276,43,33,<NA>,<NA>,<NA>
Happy Camper,Comet,0,95,18,12,<NA>,<NA>,<NA>
Hat Trick,Vixen,0,12,4,0,<NA>,<NA>,<NA>
Hatchet (Lizard Q),Comet,0,12,4,0,<NA>,<NA>,<NA>
Heifer,Comet,0,12,4,0,3,0,<NA>
Hodl,Dancer,10,201,30,36,<NA>,<NA>,<NA>
Homer Simpson,Rudolph,0,19,0,0,<NA>,<NA>,<NA>
Hot Lava,Comet,0,195,30,36,<NA>,<NA>,<NA>
Italian Ice,Rudolph,0,45,13,0,<NA>,<NA>,<NA>
Jellystone,Dasher,0,69,13,12,<NA>,<NA>,<NA>
John Denver,Donner,0,24,5,8,<NA>,<NA>,<NA>
Juanita,Donner,0,47,12,3,<NA>,<NA>,<NA>
Just Dance,Blitzen,0,24,6,6,<NA>,<NA>,<NA>
Kidney Beans,Blitzen,0,24,6,6,<NA>,<NA>,<NA>
Laces Out,Cupid,0,9,3,0,<NA>,<NA>,<NA>
Large Marge,Donner,0,6,2,0,<NA>,<NA>,<NA>
Liberty Biberty,Prancer,0,98,18,15,<NA>,<NA>,<NA>
Mahomes,Comet,0,137,20,12,<NA>,<NA>,<NA>
Manhole,Comet,0,187,27,36,<NA>,<NA>,<NA>
Mapquest,Rudolph,0,15,5,0,<NA>,<NA>,<NA>
Marinara,Rudolph,0,30,8,0,3,5,7
Martha Stewart,Dancer,10,24,2,5,3,0,0
Meta,Comet,0,218,35,33,<NA>,<NA>,<NA>
Moist,Donner,0,21,3,5,<NA>,<NA>,<NA>
Morticia,Blitzen,0,35,10,0,<NA>,<NA>,<NA>
Mr. Belding,Donner,0,46,12,9,<NA>,<NA>,<NA>
Mr. Kotter,Donner,0,93,24,3,<NA>,<NA>,<NA>
Napster,Rudolph,0,117,20,21,<NA>,<NA>,<NA>
Nemo,Prancer,0,175,26,30,<NA>,<NA>,<NA>
Nickelback,Rudolph,0,6,2,0,<NA>,<NA>,<NA>
Norm,Dasher,0,17,2,3,<NA>,<NA>,<NA>
Old Maid,Dasher,0,54,12,0,<NA>,<NA>,<NA>
Olive Oyl,Dasher,0,10,0,0,<NA>,<NA>,<NA>
Otto Man,Cupid,0,17,5,1,<NA>,<NA>,<NA>
Ozark,Dancer,0,18,4,0,<NA>,<NA>,<NA>
PFG,Prancer,0,43,11,0,<NA>,<NA>,<NA>
Party in a bottle,Dancer,0,82,17,18,<NA>,<NA>,<NA>
Pearl,Comet,0,41,3,0,<NA>,<NA>,<NA>
Peashooter,Donner,0,14,3,0,<NA>,<NA>,<NA>
Pee Wee Herman,Blitzen,0,27,9,0,<NA>,<NA>,<NA>
Peterbilt,Comet,0,115,20,6,<NA>,<NA>,<NA>
Phoenix,Dancer,0,98,13,8,<NA>,<NA>,<NA>
Picasso,Cupid,0,54,9,21,<NA>,<NA>,<NA>
Pop-Tart,Dancer,10,173,21,33,<NA>,<NA>,<NA>
Pull-up,Comet,0,135,24,21,<NA>,<NA>,<NA>
Quatro,Vixen,0,9,3,0,<NA>,<NA>,<NA>
Rabbit,Rudolph,0,9,3,0,3,0,7
Ricochet,Dancer,0,144,21,36,<NA>,<NA>,<NA>
Ricola,Rudolph,0,155,18,33,<NA>,<NA>,<NA>
Ringo,Rudolph,0,86,12,6,<NA>,<NA>,<NA>
Rooney,Dasher,0,33,8,0,<NA>,<NA>,<NA>
Sailer Moon,Blitzen,0,6,2,0,<NA>,<NA>,<NA>
Schlitz,Blitzen,0,98,18,6,<NA>,<NA>,<NA>
Scratch and Dent,Dasher,0,197,32,33,<NA>,<NA>,<NA>
Scuba Steve,Vixen,0,31,7,0,<NA>,<NA>,<NA>
Sensodyne,Prancer,0,14,3,2,<NA>,<NA>,<NA>
Shankapotomus,Comet,0,32,8,0,<NA>,<NA>,<NA>
Singer,Cupid,0,25,7,3,<NA>,<NA>,<NA>
Six Sheets,Comet,0,23,6,0,3,5,<NA>
Sizzler,Cupid,0,29,8,0,<NA>,<NA>,<NA>
SkidMark,Blitzen,0,41,11,8,<NA>,<NA>,<NA>
Slapshot,Rudolph,0,43,14,0,<NA>,<NA>,<NA>
SoccerMom,Vixen,0,3,1,0,3,0,<NA>
Soft Hands,Cupid,0,109,17,21,<NA>,<NA>,<NA>
Sparkler,Cupid,0,117,24,28,<NA>,<NA>,<NA>
Sparky,Dancer,0,127,19,24,<NA>,<NA>,<NA>
Spike Horn,Cupid,0,13,4,0,<NA>,<NA>,<NA>
Spit Valve,Prancer,10,219,33,36,<NA>,<NA>,<NA>
Stitch,Vixen,0,21,6,3,3,5,0
Storm Chaser,Donner,0,111,17,22,<NA>,<NA>,<NA>
The Vault,Prancer,0,23,3,0,3,0,0
The Worm,Prancer,0,29,7,0,<NA>,<NA>,<NA>
