user_id,user_name,first_date,first_week,post_count
U0182DLTKCH,Brick F3 Geneva,2025-12-08,6,1
U0197M49PJ8,Squirts,2025-11-16,3,0
U03SK13D50Q,Slip’N’Rock ( F3 Naperville ),2025-12-10,6,1
U042B5WTVBN,Spirit Fingers (F3 Naperville),2025-12-09,6,1
U0478KMFPE0,Sunshine (F3 Kankakee),2025-12-10,6,1
U047GFQH4HL,Bronco,2025-11-26,4,2
U05067F4K7C,Half Price,2025-11-22,3,1
U050YTG6YJC,Latte,2025-11-29,4,1
U05CLEPF6VC,Baluster,2025-11-22,3,1
U05V7JWTY67,Schrute,2025-11-15,2,2
U0603QP17QE,Ecto Cooler,2025-12-06,5,1
U065EML70E5,Nextel,2025-11-18,3,1
U06HEUK00QZ,Preacher,2025-11-01,0,1
U070SG6LRAS,FLANDERS,2025-12-10,6,2
U07GDNBSZ0Q,Speedbag (F3 Southsid3),2025-12-06,5,1
U07Q383MKCP,Huffy,2025-12-12,6,1
U07T8M3GC1L,007,2025-12-01,5,1
U07UCTA492S,Mr Burns,2025-12-08,6,1
U07V0KKMLNR,Ark,2025-11-10,2,0
U088LALR4FL,MallWalker,2025-11-29,4,2
U08BZQQGV9V,Gilligan,2025-12-11,6,0
U08K5RPAY02,Al Roache,2025-11-18,3,0
U091UQXBKJP,Sapsucker (F3 Naperville),2025-12-06,5,2
U09E53TV8JD,Party In A Box,2025-11-11,2,0
U09LCA0QVMX,Bubba Gump,2025-12-11,6,0
U09LT8ATYUQ,Toolbox,2025-11-27,4,2
U0A0D25TJP8,Pikachu (Southsid3),2025-12-06,5,2
U0A241SMD7X,HOBO,2025-12-10,6,3
U0A31RF4RLG,Gondola,2025-12-08,6,2
