Warrior,Patch,Daily Posts,Daily EC,Posts,EC,Qs,2ndF,QS/3RDF,Donations,BD,Snowman,AOs
Broomstick,Band,0.782608695652174,3.327391304347826,18,76.53,3,3,3,1,0,1,1
Broomstick,Beast,1.6521739130434783,5.066521739130435,38,116.53,4,4,4,2,0,1,4
Broomstick,Ultimate,1.8695652173913044,6.11,43,140.53,4,4,4,2,4,1,6
Chum Bucket,Band,0.34782608695652173,1.677391304347826,8,38.58,1,1,2,1,0,1,0
Chum Bucket,Beast,1.2173913043478262,3.4165217391304346,28,78.58,2,2,3,2,1,1,0
Chum Bucket,Ultimate,1.434782608695652,4.46,33,102.58,2,2,3,2,5,1,2
Dauber,Band,0.5217391304347826,1.607391304347826,12,36.97,0,2,0,1,0,1,0
Dauber,Beast,1.391304347826087,3.3465217391304347,32,76.97,0,3,0,2,2,1,3
Dauber,Ultimate,1.608695652173913,4.39,37,100.97,0,3,0,2,6,1,5
Deja vu,Band,0.08695652173913043,1.8065217391304347,2,41.55,0,0,1,0,0,1,0
Deja vu,Beast,0.9565217391304348,3.5456521739130435,22,81.55,0,1,2,1,3,1,3
Deja vu,Ultimate,1.173913043478261,4.589130434782609,27,105.55,0,1,2,1,7,1,5
Depends (3rdF Q),Band,0.4782608695652174,1.7039130434782608,11,39.19,1,2,0,1,0,1,0
Depends (3rdF Q),Beast,1.3478260869565217,3.4430434782608694,31,79.19,2,3,0,2,3,1,1
Depends (3rdF Q),Ultimate,1.565217391304348,4.486521739130435,36,103.19,2,3,0,2,7,1,3
Dilly Dilly,Band,0.6086956521739131,2.2695652173913046,14,52.2,2,3,3,1,0,1,2
Dilly Dilly,Beast,1.4782608695652173,4.008695652173913,34,92.2,3,4,4,2,3,1,5
Dilly Dilly,Ultimate,1.6956521739130435,5.052173913043478,39,116.2,3,4,4,2,7,1,7
Duck Hunt,Band,0.2608695652173913,2.5230434782608695,6,58.03,2,2,3,1,0,1,0
Duck Hunt,Beast,1.1304347826086956,4.262173913043478,26,98.03,3,3,4,2,0,1,2
Duck Hunt,Ultimate,1.3478260869565217,5.305652173913043,31,122.03,3,3,4,2,4,1,4
Foghorn,Band,0.6956521739130435,3.1552173913043475,16,72.57,0,3,0,1,0,1,0
Foghorn,Beast,1.565217391304348,4.894347826086956,36,112.57,1,4,0,2,1,1,2
Foghorn,Ultimate,1.7826086956521738,5.937826086956521,41,136.57,1,4,0,2,5,1,4
Foreclosure,Band,0.21739130434782608,1.1873913043478261,5,27.310000000000002,0,0,3,1,0,0,0
Foreclosure,Beast,1.0869565217391304,2.926521739130435,25,67.31,0,1,4,2,0,0,0
Foreclosure,Ultimate,1.3043478260869565,3.97,30,91.31,0,1,4,2,0,0,2
Hodl,Band,0.6086956521739131,3.4108695652173915,14,78.45,0,1,0,1,0,1,0
Hodl,Beast,1.4782608695652173,5.15,34,118.45,0,2,1,2,3,1,2
Hodl,Ultimate,1.6956521739130435,6.193478260869565,39,142.45,0,2,1,2,7,1,4
Mr. Kotter,Band,0.0,0.358695652173913,0,8.25,0,0,0,0,0,0,0
Mr. Kotter,Beast,0.8695652173913043,2.097826086956522,20,48.25,0,0,0,0,0,0,0
Mr. Kotter,Ultimate,1.0869565217391304,3.141304347826087,25,72.25,0,0,0,0,2,0,0
Party in a bottle,Band,0.7391304347826086,3.347826086956522,17,77.0,0,1,3,1,0,1,0
Party in a bottle,Beast,1.608695652173913,5.086956521739131,37,117.0,1,2,4,2,3,1,3
Party in a bottle,Ultimate,1.826086956521739,6.130434782608695,42,141.0,1,2,4,2,7,1,5
Pull-up,Band,0.30434782608695654,0.4413043478260872,7,10.150000000000006,0,3,0,1,0,1,0
Pull-up,Beast,1.173913043478261,2.180434782608696,27,50.150000000000006,0,4,0,2,0,1,0
Pull-up,Ultimate,1.391304347826087,3.223913043478261,32,74.15,0,4,0,2,4,1,2
Slackbot,Band,0.7391304347826086,2.8973913043478263,17,66.64,0,3,3,0,0,0,5
Slackbot,Beast,1.608695652173913,4.636521739130435,37,106.64,0,4,4,1,4,0,8
Slackbot,Ultimate,1.826086956521739,5.68,42,130.64,0,4,4,1,8,0,10
Soft Hands,Band,0.4782608695652174,3.0178260869565214,11,69.41,1,1,3,1,0,1,0
Soft Hands,Beast,1.3478260869565217,4.75695652173913,31,109.41,2,2,4,2,3,1,3
Soft Hands,Ultimate,1.565217391304348,5.800434782608695,36,133.41,2,2,4,2,7,1,5
Sparkler,Band,0.30434782608695654,0.34217391304347844,7,7.8700000000000045,0,3,3,0,0,1,0
Sparkler,Beast,1.173913043478261,2.0813043478260873,27,47.870000000000005,1,4,4,1,0,1,1
Sparkler,Ultimate,1.391304347826087,3.1247826086956523,32,71.87,1,4,4,1,0,1,3
Spit Valve,Band,0.5217391304347826,2.2178260869565216,12,51.01,0,2,3,1,0,0,0
Spit Valve,Beast,1.391304347826087,3.95695652173913,32,91.00999999999999,0,3,4,2,2,0,2
Spit Valve,Ultimate,1.608695652173913,5.0004347826086954,37,115.00999999999999,0,3,4,2,6,0,4
Stitch,Band,1.0869565217391304,3.360869565217391,25,77.3,2,3,3,1,0,1,2
Stitch,Beast,1.9565217391304348,5.1,45,117.3,3,4,4,2,4,1,5
Stitch,Ultimate,2.1739130434782608,6.143478260869566,50,141.3,3,4,4,2,8,1,7
