warrior,Patch,Daily Posts,Daily EC,Posts,EC,Qs,2ndF,QS/3RDF,Donations,BD,Snowman,AOs
Broomstick,Band,0.81,3.64,17,76.53,3,3,3,1,0,1,1
Broomstick,Beast,1.76,5.55,37,116.53,4,4,4,2,0,1,4
Broomstick,Ultimate,2.0,6.69,42,140.53,4,4,4,2,4,1,6
Chum Bucket,Band,0.33,1.69,7,35.58,1,1,2,1,0,1,0
Chum Bucket,Beast,1.29,3.6,27,75.58,2,2,3,2,1,1,0
Chum Bucket,Ultimate,1.52,4.74,32,99.58,2,2,3,2,5,1,1
Dauber,Band,0.52,1.62,11,33.97,0,2,0,1,0,1,0
Dauber,Beast,1.48,3.52,31,73.97,0,3,0,2,2,1,3
Dauber,Ultimate,1.71,4.67,36,97.97,0,3,0,2,6,1,5
Deja vu,Band,0.05,1.93,1,40.53,0,0,1,0,0,0,0
Deja vu,Beast,1.0,3.83,21,80.53,0,1,2,1,3,0,3
Deja vu,Ultimate,1.24,4.98,26,104.53,0,1,2,1,7,0,5
Depends (3rdF Q),Band,0.48,1.57,10,32.91,1,2,0,1,0,1,0
Depends (3rdF Q),Beast,1.43,3.47,30,72.91,2,3,0,2,3,1,1
Depends (3rdF Q),Ultimate,1.67,4.61,35,96.91,2,3,0,2,7,1,3
Dilly Dilly,Band,0.62,2.49,13,52.2,2,3,3,1,0,1,2
Dilly Dilly,Beast,1.57,4.39,33,92.2,3,4,4,2,3,1,5
Dilly Dilly,Ultimate,1.81,5.53,38,116.2,3,4,4,2,7,1,7
Duck Hunt,Band,0.29,2.76,6,58.03,2,2,3,1,0,1,0
Duck Hunt,Beast,1.24,4.67,26,98.03,3,3,4,2,0,1,2
Duck Hunt,Ultimate,1.48,5.81,31,122.03,3,3,4,2,4,1,4
Foghorn,Band,0.76,3.46,16,72.57,0,3,0,1,0,1,0
Foghorn,Beast,1.71,5.36,36,112.57,1,4,0,2,1,1,2
Foghorn,Ultimate,1.95,6.5,41,136.57,1,4,0,2,5,1,4
Foreclosure,Band,0.19,1.15,4,24.17,0,0,3,1,0,0,0
Foreclosure,Beast,1.14,3.06,24,64.17,0,1,4,2,0,0,0
Foreclosure,Ultimate,1.38,4.2,29,88.17,0,1,4,2,0,0,2
Hodl,Band,0.62,3.74,13,78.45,0,1,0,1,0,1,0
Hodl,Beast,1.57,5.64,33,118.45,0,2,1,2,2,1,2
Hodl,Ultimate,1.81,6.78,38,142.45,0,2,1,2,6,1,4
Mr. Kotter,Band,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Mr. Kotter,Beast,0.9,1.82,19,38.239999999999995,0,0,0,0,0,0,0
Mr. Kotter,Ultimate,1.14,2.96,24,62.239999999999995,0,0,0,0,1,0,0
Party in a bottle,Band,0.81,3.67,17,77.0,0,1,3,1,0,1,0
Party in a bottle,Beast,1.76,5.57,37,117.0,1,2,4,2,3,1,3
Party in a bottle,Ultimate,2.0,6.71,42,141.0,1,2,4,2,7,1,5
Pull-up,Band,0.29,0.34,6,7.150000000000006,0,3,0,1,0,1,0
Pull-up,Beast,1.24,2.25,26,47.150000000000006,0,4,0,2,0,1,0
Pull-up,Ultimate,1.48,3.39,31,71.15,0,4,0,2,3,1,2
Slackbot,Band,0.81,3.17,17,66.64,0,3,3,0,0,0,5
Slackbot,Beast,1.76,5.08,37,106.64,0,4,4,1,4,0,8
Slackbot,Ultimate,2.0,6.22,42,130.64,0,4,4,1,8,0,10
Soft Hands,Band,0.48,3.16,10,66.27,1,1,3,1,0,1,0
Soft Hands,Beast,1.43,5.06,30,106.27,2,2,4,2,3,1,3
Soft Hands,Ultimate,1.67,6.2,35,130.27,2,2,4,2,7,1,5
Sparkler,Band,0.29,0.23,6,4.730000000000004,0,3,3,0,0,1,0
Sparkler,Beast,1.24,2.13,26,44.730000000000004,1,4,4,1,0,1,1
Sparkler,Ultimate,1.48,3.27,31,68.73,1,4,4,1,0,1,3
Spit Valve,Band,0.57,2.43,12,51.01,0,2,3,1,0,0,0
Spit Valve,Beast,1.52,4.33,32,91.00999999999999,0,3,4,2,2,0,2
Spit Valve,Ultimate,1.76,5.48,37,115.00999999999999,0,3,4,2,6,0,4
Stitch,Band,1.19,3.68,25,77.3,2,3,3,1,0,1,2
Stitch,Beast,2.14,5.59,45,117.3,3,4,4,2,4,1,5
Stitch,Ultimate,2.38,6.73,50,141.3,3,4,4,2,8,1,7
