date,week,ao_id,q_user_id,user_id,ao,points,type,user_name,Team,FNGflag,backblast,units
2026-01-23,3,C0168ASEPD5,U017E4NMFQV,U017E4NMFQV,3rd-f,5,3rdf,Hanger,Donner,0.0,Friday pantry truck,3.02
2026-01-23,3,C0168ASEPD5,U017E4NMFQV,U041R4GK79V,3rd-f,5,3rdf,fuzzy navel,Donner,0.0,Friday pantry truck,3.02
2026-01-09,1,C0168ASEPD5,U041R4GK79V,U041R4GK79V,3rd-f,5,3rdf,fuzzy navel,Donner,0.0,Wondering if there’s a truck,7.0
2026-01-17,2,C0168ASEPD5,U057QBF3TPW,U041R4GK79V,3rd-f,5,3rdf,fuzzy navel,Donner,0.0,Picking up Wreaths,0.0
2026-01-31,4,C0168ASEPD5,U057QBF3TPW,U051330RY2J,3rd-f,5,3rdf,Depends (3rdF Q),Prancer,0.0,Blood Donation,0.0
2026-01-17,2,C0168ASEPD5,U057QBF3TPW,U057QBF3TPW,3rd-f,5,3rdf,Deja vu,NONE,0.0,Picking up Wreaths,0.0
2026-01-31,4,C0168ASEPD5,U057QBF3TPW,U057QBF3TPW,3rd-f,5,3rdf,Deja vu,NONE,0.0,Blood Donation,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U016890PYHM,2nd-f,5,2ndf,Bedpan,Donner,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U016M1Z8NLE,2nd-f,5,2ndf,Happy Camper,Comet,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U016P7DMTGT,2nd-f,5,2ndf,Boston Butt,Dancer,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U016ZUU67BN,2nd-f,5,2ndf,5-Putt,Vixen,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U017BQTUL3D,2nd-f,5,2ndf,John Denver,Donner,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U017E4NMFQV,2nd-f,5,2ndf,Hanger,Donner,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U017QPPJVJ5,2nd-f,5,2ndf,Bob Villa,Comet,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U019MT194E7,2nd-f,5,2ndf,Jellystone,Dasher,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U019Y7P6XPF,2nd-f,5,2ndf,Foundation,Blitzen,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U01C4AULU5B,2nd-f,5,2ndf,Fish Sticks (F3),Unknown Team,<NA>,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U01KXPKDF97,2nd-f,5,2ndf,Heifer,Comet,2.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U020A3PMS14,2nd-f,5,2ndf,Ringo,Rudolph,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U020A7W78FQ,2nd-f,5,2ndf,Mr. Belding,Donner,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U02A96W697X,2nd-f,5,2ndf,Dauber,Comet,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U02F2UV0MCL,2nd-f,5,2ndf,Blue Gill,Vixen,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U02KN9HUSE6,2nd-f,5,2ndf,Soft Hands,Cupid,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U02NBKHN3NK,2nd-f,5,2ndf,Dungeon Master,Prancer,1.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U02NST5BMKJ,2nd-f,5,2ndf,Dear Abby,Dancer,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U03765UPB8C,2nd-f,5,2ndf,Chum Bucket,Donner,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U03EPDEKY4U,2nd-f,5,2ndf,Schlitz,Blitzen,0.0,F3 Plainfield Annual Holiday Gala,0.0
