date,week,Team,user_name,ao,type,points,notes
2025-12-01,0,Cupid,Soft Hands,rg_3rdf_donation,Donation,3,"$$, way to be generous!"
2025-12-02,0,Cupid,Soft Hands,ao-black-rock,1stf,3,ao-black-rock - Ricolas Farmer Carry Beatdown
2025-12-02,0,Cupid,Soft Hands,rg_ec3,ec,3,"EC, noice!"
2025-12-03,0,Cupid,Soft Hands,rg_ec3,ec,3,"EC, noice!"
2025-12-03,0,Cupid,Soft Hands,downrange,1stf,4,downrange - Black Diamond Picasso massacre at the wood
2025-12-05,0,Cupid,Soft Hands,2nd-f,2ndf,5,Werk Force First Friday
2025-12-05,0,Cupid,Soft Hands,ao-the-olympiad,1stf,3,ao-the-olympiad - Liberty VQ
2025-12-05,0,Cupid,Soft Hands,rg_ec3,ec,3,"EC, noice!"
2025-12-06,0,Cupid,Soft Hands,ao-the-ridge,1stf,3,ao-the-ridge - Hank & Geicos Co-Q - Capture the flags
2025-12-09,1,Cupid,Soft Hands,ao-black-rock,1stf,3,ao-black-rock - Ringos 4 Station Beatdown
2025-12-09,1,Cupid,Soft Hands,rg_ec3,ec,3,"EC, noice!"
2025-12-10,1,Cupid,Soft Hands,downrange,1stf,3,downrange - More cowbell
2025-12-10,1,Cupid,Soft Hands,rg_ec3,ec,3,"EC, noice!"
2025-12-10,1,Cupid,Soft Hands,ao-the-ridge,1stf,3,ao-the-ridge - Wednesday slush run
2025-12-10,1,Cupid,Soft Hands,rg_3rdf_donation,Donation,3,"$$, way to be generous!"
2025-12-11,1,Cupid,Soft Hands,2nd-f,2ndf,5,Pizza with brothers!
2025-12-12,1,Cupid,Soft Hands,ao-the-olympiad,1stf,3,ao-the-olympiad - Jellystone Miles Club
2025-12-12,1,Cupid,Soft Hands,rg_ec3,ec,3,"EC, noice!"
2025-12-13,1,Cupid,Soft Hands,rg_ec3,ec,3,"EC, noice!"
2025-12-13,1,Cupid,Soft Hands,3rd-f,3rdf,5,Helpin out at the pantry
2025-12-13,1,Cupid,Soft Hands,ao-da-grizz,1stf,3,ao-da-grizz - Boomer's Artic Circle Ruck
2025-12-13,1,Cupid,Soft Hands,<NA>,Around The World,5,"('ao-da-grizz', 'ao-the-colosseum', 'ao-the-ridge', 'ao-the-olympiad', 'downrange', 'ao-black-rock')"
2025-12-13,1,Cupid,Soft Hands,<NA>,sixpack bonus,4,"('ao-black-rock', 'downrange', 'ao-the-ridge', 'ao-the-olympiad', 'ao-da-grizz', 'ao-the-colosseum')"
2025-12-13,1,Cupid,Soft Hands,ao-the-colosseum,1stf,3,ao-the-colosseum - Dauber and Meta’s ladder fun!
