date,warrior,ao,type,notes,notes_numeric,EC_miles,F3P_AO,is_post,is_q,is_2ndf,is_qs_3rdf,is_donation,is_black_diamond
2025-12-06,Depends (3rdF Q),3rd-f,QS/3rdF,Caroling!,<NA>,0.0,<NA>,False,False,False,False,False,False
2025-12-10,Depends (3rdF Q),3rd-f,QS/3rdF,Santa’s Workshop,<NA>,0.0,<NA>,False,False,False,False,False,False
2025-12-13,Foreclosure,2nd-f,2ndF,End of Games 2nd F Event,<NA>,0.0,<NA>,False,False,True,False,False,False
2025-12-05,Mr. Kotter,2nd-f,2ndF,Werk Force First Friday,<NA>,0.0,<NA>,False,False,True,False,False,False
2025-12-03,Depends (3rdF Q),2nd-f,2ndF,Twisted Pin bowling,<NA>,0.0,<NA>,False,False,True,False,False,False
2025-12-03,Mr. Kotter,2nd-f,2ndF,Twisted Pin bowling,<NA>,0.0,<NA>,False,False,True,False,False,False
2025-12-04,Pull-up,2nd-f,2ndF,Maciano’s Pizza Lunch,<NA>,0.0,<NA>,False,False,True,False,False,False
2025-12-11,Foreclosure,2nd-f,2ndF,Pizza with brothers!,<NA>,0.0,<NA>,False,False,True,False,False,False
2025-12-10,Depends (3rdF Q),2nd-f,2ndF,Chicken with friends is better than chicken alone!...,<NA>,0.0,<NA>,False,False,True,False,False,False
2025-12-20,Mr. Kotter,downrange,Post,downrange - The Wood Ruck,<NA>,0.0,<NA>,True,False,False,False,False,False
2025-12-31,Duck Hunt,downrange,Post,downrange - Woodsh3d (f3 Southside),<NA>,0.0,<NA>,True,False,False,False,False,False
2025-12-13,Foreclosure,black-diamond,Post,downrange - Picasso Black Diamond at The Wood,<NA>,0.0,black-diamond,True,False,False,False,False,True
2025-12-24,Sparkler,downrange,Post,downrange - BC at The ?,<NA>,0.0,<NA>,True,False,False,False,False,False
2025-12-24,Foreclosure,downrange,Post,downrange - BC at The ?,<NA>,0.0,<NA>,True,False,False,False,False,False
2025-12-05,F3Plainfield_IL,downrange,Q,downrange - Naperville at The Complex,<NA>,0.0,<NA>,False,True,False,False,False,False
2025-12-05,F3Plainfield_IL,downrange,Post,downrange - Naperville at The Complex,<NA>,0.0,<NA>,True,False,False,False,False,False
2025-12-10,F3Plainfield_IL,downrange,Q,downrange - The Tundra,<NA>,0.0,<NA>,False,True,False,False,False,False
2025-12-10,F3Plainfield_IL,downrange,Post,downrange - The Tundra,<NA>,0.0,<NA>,True,False,False,False,False,False
2025-12-12,F3Plainfield_IL,downrange,Q,downrange - LS at The Complex and The Arena in Raleigh,<NA>,0.0,<NA>,False,True,False,False,False,False
2025-12-12,F3Plainfield_IL,downrange,Post,downrange - LS at The Complex and The Arena in Raleigh,<NA>,0.0,<NA>,True,False,False,False,False,False
2025-12-18,F3Plainfield_IL,downrange,Q,downrange - The Crossings F3 NEO Ruck,<NA>,0.0,<NA>,False,True,False,False,False,False
2025-12-18,F3Plainfield_IL,downrange,Post,downrange - The Crossings F3 NEO Ruck,<NA>,0.0,<NA>,True,False,False,False,False,False
2025-12-04,Depends (3rdF Q),downrange,Post,downrange - Spit Valve Q EEBC The wood,<NA>,0.0,<NA>,True,False,False,False,False,False
2025-12-08,Depends (3rdF Q),downrange,Post,downrange - Band camp with Spit Valve,<NA>,0.0,<NA>,True,False,False,False,False,False
2025-12-11,Depends (3rdF Q),downrange,Post,downrange - EEBC w/ Spit Valve,<NA>,0.0,<NA>,True,False,False,False,False,False
2025-12-23,Dilly Dilly,downrange,Post,downrange - F3 West Indy - Deck of Cards BC,<NA>,0.0,<NA>,True,False,False,False,False,False
2025-12-24,Dilly Dilly,downrange,Post,downrange - F3 West Indy Bootcamp/Ultimate Frisbee,<NA>,0.0,<NA>,True,False,False,False,False,False
2025-12-26,Dilly Dilly,downrange,Post,downrange - F3 West Indy Bootcamp (Motor Boat Q),<NA>,0.0,<NA>,True,False,False,False,False,False
2025-12-16,Sparkler,downrange,Post,downrange - Run club at the ?,<NA>,0.0,<NA>,True,False,False,False,False,False
2025-12-18,Foreclosure,the-olympiad,Post,the-olympiad - The Villa Paddle (not a board),<NA>,0.0,the-olympiad,True,False,False,False,False,False
